wavelength	n_x	k_x	n_y	k_y	n_z	k_z
0.372140	4.005139	2.089201	4.005139	2.089201	4.006170	2.087430
0.375480	3.993399	2.054627	3.993399	2.054627	3.994794	2.052798
0.378880	3.981440	2.023327	3.981440	2.023327	3.983199	2.021424
0.382350	3.969560	1.995033	3.969560	1.995033	3.971684	1.993031
0.385880	3.958033	1.969777	3.958033	1.969777	3.960515	1.967642
0.389470	3.946975	1.947331	3.946975	1.947331	3.949818	1.945028
0.393130	3.936590	1.927512	3.936590	1.927512	3.939780	1.925008
0.396860	3.927049	1.910236	3.927049	1.910236	3.930576	1.907482
0.400660	3.918553	1.895261	3.918553	1.895261	3.922396	1.892208
0.404540	3.911194	1.882617	3.911194	1.882617	3.915327	1.879223
0.408490	3.905042	1.872046	3.905042	1.872046	3.909440	1.868258
0.412520	3.900230	1.863435	3.900230	1.863435	3.904852	1.859209
0.416630	3.896929	1.856726	3.896929	1.856726	3.901733	1.852009
0.420820	3.895242	1.851679	3.895242	1.851679	3.900172	1.846422
0.425100	3.895129	1.848262	3.895129	1.848262	3.900130	1.842422
0.429470	3.896761	1.846447	3.896761	1.846447	3.901774	1.839973
0.433920	3.900343	1.845919	3.900343	1.845919	3.905289	1.838777
0.438470	3.905774	1.846749	3.905774	1.846749	3.910572	1.838902
0.443120	3.913184	1.848778	3.913184	1.848778	3.917758	1.840188
0.447860	3.922720	1.851820	3.922720	1.851820	3.926963	1.842466
0.452710	3.934480	1.855990	3.934480	1.855990	3.938292	1.845839
0.457670	3.948570	1.860970	3.948570	1.860970	3.951828	1.850014
0.462730	3.964985	1.866844	3.964985	1.866844	3.967580	1.855061
0.467910	3.984006	1.873384	3.984006	1.873384	3.985790	1.860788
0.473200	4.005626	1.880615	4.005626	1.880615	4.006473	1.867197
0.478620	4.030025	1.888307	4.030025	1.888307	4.029769	1.874100
0.484160	4.057445	1.896501	4.057445	1.896501	4.055912	1.881532
0.489830	4.087858	1.905066	4.087858	1.905066	4.084862	1.889366
0.495640	4.121667	1.913885	4.121667	1.913885	4.117007	1.897522
0.501580	4.159062	1.922755	4.159062	1.922755	4.152498	1.905802
0.507670	4.200215	1.931673	4.200215	1.931673	4.191492	1.914224
0.513910	4.245473	1.940533	4.245473	1.940533	4.234309	1.922701
0.520300	4.295200	1.949045	4.295200	1.949045	4.281248	1.930994
0.526860	4.349843	1.957272	4.349843	1.957272	4.332728	1.939194
0.533580	4.409740	1.964863	4.409740	1.964863	4.389006	1.946999
0.540480	4.475513	1.971663	4.475513	1.971663	4.450651	1.954325
0.547560	4.547847	1.977515	4.547847	1.977515	4.518235	1.961096
0.554820	4.627331	1.982202	4.627331	1.982202	4.592218	1.967172
0.562280	4.714596	1.985586	4.714596	1.985586	4.673145	1.972549
0.569940	4.809799	1.987736	4.809799	1.987736	4.761084	1.977358
0.577820	4.912191	1.989176	4.912191	1.989176	4.855417	1.982119
0.585910	5.017766	1.991478	5.017766	1.991478	4.952810	1.987997
0.594240	5.116729	1.998577	5.116729	1.998577	5.045382	1.997715
0.602810	5.191852	2.017042	5.191852	2.017042	5.119317	2.015638
0.611620	5.140339	1.811829	5.140339	1.811829	5.102056	1.841779
0.620700	5.062506	1.620824	5.062506	1.620824	5.063749	1.659890
0.630050	4.986291	1.479810	4.986291	1.479810	5.019682	1.506653
0.639690	4.914475	1.357676	4.914475	1.357676	4.973708	1.358458
0.649630	4.849721	1.243569	4.849721	1.243569	4.930570	1.207204
0.659880	4.791630	1.132703	4.791630	1.132703	4.892907	1.049292
0.670460	4.738483	1.022760	4.738483	1.022760	4.862974	0.883237
0.681380	4.697952	0.963566	4.697952	0.963566	4.835419	0.773818
0.692670	4.675743	1.000166	4.675743	1.000166	4.810800	0.767101
0.704330	4.619978	0.887334	4.619978	0.887334	4.712009	0.718395
0.716400	4.570155	0.810364	4.570155	0.810364	4.635392	0.678161
0.728890	4.521585	0.744263	4.521585	0.744263	4.567329	0.640618
0.741820	4.474194	0.682729	4.474194	0.682729	4.504670	0.603267
0.755210	4.428393	0.622887	4.428393	0.622887	4.446323	0.564364
0.769100	4.384613	0.563134	4.384613	0.563134	4.392177	0.522668
0.783510	4.343152	0.502392	4.343152	0.502392	4.342601	0.477268
0.798470	4.304108	0.439914	4.304108	0.439914	4.298239	0.427555
0.814020	4.268606	0.387506	4.268606	0.387506	4.261238	0.383525
0.830180	4.238890	0.374401	4.238890	0.374401	4.231974	0.371004
0.846990	4.210829	0.360117	4.210829	0.360117	4.204345	0.357223
0.864500	4.182199	0.346369	4.182199	0.346369	4.175950	0.344005
0.882750	4.156255	0.333034	4.156255	0.333034	4.150295	0.331248
0.901790	4.131970	0.319391	4.131970	0.319391	4.126302	0.318160
0.921660	4.109174	0.305463	4.109174	0.305463	4.103798	0.304760
0.942430	4.087631	0.291312	4.087631	0.291312	4.082538	0.291109
0.964160	4.067409	0.276965	4.067409	0.276965	4.062596	0.277232
0.986910	4.048307	0.262474	4.048307	0.262474	4.043772	0.263176
1.010800	4.030295	0.247909	4.030295	0.247909	4.026038	0.249011
1.035800	4.013404	0.233324	4.013404	0.233324	4.009420	0.234788
1.062100	3.997505	0.218788	3.997505	0.218788	3.993788	0.220571
1.089800	3.982567	0.204402	3.982567	0.204402	3.979112	0.206456
1.119000	3.968593	0.190255	3.968593	0.190255	3.965386	0.192528
1.149700	3.955553	0.176465	3.955553	0.176465	3.952579	0.178894
1.182200	3.943480	0.163172	3.943480	0.163172	3.940711	0.165691
1.216600	3.932314	0.150507	3.932314	0.150507	3.929722	0.153042
1.253100	3.921862	0.138359	3.921862	0.138359	3.919435	0.140853
1.291800	3.911906	0.127969	3.911906	0.127969	3.909622	0.130221
1.332900	3.903079	0.118995	3.903079	0.118995	3.900865	0.120898
1.376800	3.895155	0.110979	3.895155	0.110979	3.892999	0.112486
1.423700	3.888203	0.103241	3.888203	0.103241	3.886137	0.104377
1.473900	3.882192	0.095830	3.882192	0.095830	3.880248	0.096627
1.527700	3.877124	0.088710	3.877124	0.088710	3.875331	0.089198
1.585700	3.873139	0.081705	3.873139	0.081705	3.871525	0.081910
1.648200	3.870236	0.074003	3.870236	0.074003	3.868828	0.073926
1.715800	3.868374	0.058526	3.868374	0.058526	3.867248	0.057948
1.789200	3.845952	0.051203	3.845952	0.051203	3.844360	0.050215
1.869200	3.834384	0.050101	3.834384	0.050101	3.832627	0.049004
1.956600	3.824941	0.049056	3.824941	0.049056	3.823079	0.047855
2.052700	3.816790	0.048091	3.816790	0.048091	3.814854	0.046782
2.158600	3.809446	0.047219	3.809446	0.047219	3.807447	0.045793
2.276100	3.802908	0.046454	3.802908	0.046454	3.800859	0.044900
2.407100	3.797100	0.045811	3.797100	0.045811	3.795003	0.044114
2.554100	3.791883	0.045305	3.791883	0.045305	3.789734	0.043443
2.720300	3.787287	0.044952	3.787287	0.044952	3.785081	0.042900
2.909500	3.783406	0.044770	3.783406	0.044770	3.781126	0.042495
3.127100	3.780230	0.044773	3.780230	0.044773	3.777852	0.042231
3.379800	3.777916	0.044966	3.777916	0.044966	3.775394	0.042102
3.677000	3.776589	0.045332	3.776589	0.045332	3.773856	0.042078
4.031500	3.776525	0.045799	3.776525	0.045799	3.773452	0.042065
4.461600	3.778306	0.046158	3.778306	0.046158	3.774676	0.041848
4.994500	3.782469	0.045832	3.782469	0.045832	3.777854	0.040881
5.671900	3.790524	0.043095	3.790524	0.043095	3.784071	0.037688
6.561900	3.804901	0.030320	3.804901	0.030320	3.794768	0.026285
7.783200	3.788413	0.008860	3.788413	0.008860	3.780736	0.008882
9.563100	3.781008	0.007218	3.781008	0.007218	3.774350	0.007232
12.398000	3.777051	0.005568	3.777051	0.005568	3.770845	0.005578
