wavelength_um,n_parallel,k_parallel,n_perp,k_perp,n_iso,k_iso
0.372140,4.005139,2.089201,4.006170,2.087430,4.005482,2.088611
0.375480,3.993399,2.054627,3.994794,2.052798,3.993864,2.054017
0.378880,3.981440,2.023327,3.983199,2.021424,3.982026,2.022692
0.382350,3.969560,1.995033,3.971684,1.993031,3.970268,1.994365
0.385880,3.958033,1.969777,3.960515,1.967642,3.958860,1.969065
0.389470,3.946975,1.947331,3.949818,1.945028,3.947922,1.946563
0.393130,3.936590,1.927512,3.939780,1.925008,3.937654,1.926677
0.396860,3.927049,1.910236,3.930576,1.907482,3.928225,1.909317
0.400660,3.918553,1.895261,3.922396,1.892208,3.919834,1.894243
0.404540,3.911194,1.882617,3.915327,1.879223,3.912572,1.881485
0.408490,3.905042,1.872046,3.909440,1.868258,3.906508,1.870782
0.412520,3.900230,1.863435,3.904852,1.859209,3.901770,1.862025
0.416630,3.896929,1.856726,3.901733,1.852009,3.898530,1.855153
0.420820,3.895242,1.851679,3.900172,1.846422,3.896885,1.849926
0.425100,3.895129,1.848262,3.900130,1.842422,3.896795,1.846314
0.429470,3.896761,1.846447,3.901774,1.839973,3.898431,1.844288
0.433920,3.900343,1.845919,3.905289,1.838777,3.901990,1.843537
0.438470,3.905774,1.846749,3.910572,1.838902,3.907372,1.844132
0.443120,3.913184,1.848778,3.917758,1.840188,3.914707,1.845913
0.447860,3.922720,1.851820,3.926963,1.842466,3.924132,1.848701
0.452710,3.934480,1.855990,3.938292,1.845839,3.935748,1.852605
0.457670,3.948570,1.860970,3.951828,1.850014,3.949652,1.857317
0.462730,3.964985,1.866844,3.967580,1.855061,3.965847,1.862917
0.467910,3.984006,1.873384,3.985790,1.860788,3.984597,1.869186
0.473200,4.005626,1.880615,4.006473,1.867197,4.005904,1.876144
0.478620,4.030025,1.888307,4.029769,1.874100,4.029936,1.883573
0.484160,4.057445,1.896501,4.055912,1.881532,4.056930,1.891514
0.489830,4.087858,1.905066,4.084862,1.889366,4.086855,1.899838
0.495640,4.121667,1.913885,4.117007,1.897522,4.120110,1.908436
0.501580,4.159062,1.922755,4.152498,1.905802,4.156871,1.917112
0.507670,4.200215,1.931673,4.191492,1.914224,4.197306,1.925865
0.513910,4.245473,1.940533,4.234309,1.922701,4.241752,1.934600
0.520300,4.295200,1.949045,4.281248,1.930994,4.290552,1.943040
0.526860,4.349843,1.957272,4.332728,1.939194,4.344143,1.951259
0.533580,4.409740,1.964863,4.389006,1.946999,4.402838,1.958923
0.540480,4.475513,1.971663,4.450651,1.954325,4.467240,1.965899
0.547560,4.547847,1.977515,4.518235,1.961096,4.537997,1.972056
0.554820,4.627331,1.982202,4.592218,1.967172,4.615657,1.977205
0.562280,4.714596,1.985586,4.673145,1.972549,4.700819,1.981249
0.569940,4.809799,1.987736,4.761084,1.977358,4.793614,1.984278
0.577820,4.912191,1.989176,4.855417,1.982119,4.893334,1.986814
0.585910,5.017766,1.991478,4.952810,1.987997,4.996199,1.990294
0.594240,5.116729,1.998577,5.045382,1.997715,5.093044,1.998254
0.602810,5.191852,2.017042,5.119317,2.015638,5.167773,2.016540
0.611620,5.140339,1.811829,5.102056,1.841779,5.127573,1.821764
0.620700,5.062506,1.620824,5.063749,1.659890,5.062891,1.633858
0.630050,4.986291,1.479810,5.019682,1.506653,4.997440,1.488792
0.639690,4.914475,1.357676,4.973708,1.358458,4.934293,1.357918
0.649630,4.849721,1.243569,4.930570,1.207204,4.876750,1.231293
0.659880,4.791630,1.132703,4.892907,1.049292,4.825376,1.104513
0.670460,4.738483,1.022760,4.862974,0.883237,4.779733,0.975495
0.681380,4.697952,0.963566,4.835419,0.773818,4.743164,0.899211
0.692670,4.675743,1.000166,4.810800,0.767101,4.719665,0.921210
0.704330,4.619978,0.887334,4.712009,0.718395,4.650061,0.830384
0.716400,4.570155,0.810364,4.635392,0.678161,4.591521,0.765942
0.728890,4.521585,0.744263,4.567329,0.640618,4.536591,0.709520
0.741820,4.474194,0.682729,4.504670,0.603267,4.484205,0.656143
0.755210,4.428393,0.622887,4.446323,0.564364,4.434286,0.603338
0.769100,4.384613,0.563134,4.392177,0.522668,4.387093,0.549635
0.783510,4.343152,0.502392,4.342601,0.477268,4.342952,0.494020
0.798470,4.304108,0.439914,4.298239,0.427555,4.302149,0.435798
0.814020,4.268606,0.387506,4.261238,0.383525,4.266151,0.386180
0.830180,4.238890,0.374401,4.231974,0.371004,4.236586,0.373270
0.846990,4.210829,0.360117,4.204345,0.357223,4.208669,0.359153
0.864500,4.182199,0.346369,4.175950,0.344005,4.180117,0.345582
0.882750,4.156255,0.333034,4.150295,0.331248,4.154269,0.332439
0.901790,4.131970,0.319391,4.126302,0.318160,4.130081,0.318981
0.921660,4.109174,0.305463,4.103798,0.304760,4.107383,0.305228
0.942430,4.087631,0.291312,4.082538,0.291109,4.085934,0.291245
0.964160,4.067409,0.276965,4.062596,0.277232,4.065805,0.277054
0.986910,4.048307,0.262474,4.043772,0.263176,4.046796,0.262708
1.010800,4.030295,0.247909,4.026038,0.249011,4.028876,0.248276
1.035800,4.013404,0.233324,4.009420,0.234788,4.012077,0.233811
1.062100,3.997505,0.218788,3.993788,0.220571,3.996266,0.219382
1.089800,3.982567,0.204402,3.979112,0.206456,3.981416,0.205086
1.119000,3.968593,0.190255,3.965386,0.192528,3.967524,0.191012
1.149700,3.955553,0.176465,3.952579,0.178894,3.954561,0.177274
1.182200,3.943480,0.163172,3.940711,0.165691,3.942557,0.164011
1.216600,3.932314,0.150507,3.929722,0.153042,3.931450,0.151352
1.253100,3.921862,0.138359,3.919435,0.140853,3.921053,0.139190
1.291800,3.911906,0.127969,3.909622,0.130221,3.911145,0.128719
1.332900,3.903079,0.118995,3.900865,0.120898,3.902341,0.119629
1.376800,3.895155,0.110979,3.892999,0.112486,3.894437,0.111481
1.423700,3.888203,0.103241,3.886137,0.104377,3.887514,0.103619
